#curie_map:
#  MESH: http://id.nlm.nih.gov/mesh/
#  CL: http://purl.obolibrary.org/obo/CL_
#  UBERON: http://purl.obolibrary.org/obo/UBERON_
#  GO: http://purl.obolibrary.org/obo/GO_
#  OBA: http://purl.obolibrary.org/obo/OBA_
#  skos: http://www.w3.org/2004/02/skos/core
#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_provider: https://www.ebi.ac.uk
#mapping_set_group: obo_mesh_mappings
#mapping_set_id: obo_mesh
#mapping_set_title: 'OBO Ontology Mappings to MeSH'
#object_source: https://nlmpubs.nlm.nih.gov/projects/mesh/rdf/mesh.nt.gz
#subject_source: http://purl.obolibrary.org/obo/cl.owl
#subject_source: http://purl.obolibrary.org/obo/uberon.owl
#subject_source: http://purl.obolibrary.org/obo/go.owl
#subject_source: http://purl.obolibrary.org/obo/oba.owl
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	subject_source	object_source	confidence	mapping_date	author_id	object_uri
CL:0000145	professional antigen presenting cell	skos:exactMatch	M0001402	Antigen-Presenting Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0001402
CL:0000155	peptic cell	skos:exactMatch	M0029509	Chief Cells, Gastric	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0029509
CL:0000160	goblet cell	skos:exactMatch	M0030041	Goblet Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0030041
CL:0000162	parietal cell	skos:exactMatch	M0015954	Parietal Cells, Gastric	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0015954
CL:0000168	insulin secreting cell	skos:exactMatch	M0011743	Insulin-Secreting Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0011743
CL:0000170	glucagon secreting cell	skos:exactMatch	M0011742	Glucagon-Secreting Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0011742
CL:0000172	somatostatin secreting cell	skos:exactMatch	M0029492	Somatostatin-Secreting Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0029492
CL:0000175	luteal cell	skos:exactMatch	M0012762	Luteal Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0012762
CL:0000178	Leydig cell	skos:exactMatch	M0012443	Leydig Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0012443
CL:0000197	sensory receptor cell	skos:exactMatch	M0018618	Sensory Receptor Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0018618
CL:0000198	pain receptor cell	skos:exactMatch	M0014937	Nociceptors	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0014937
CL:0000199	mechanoreceptor cell	skos:exactMatch	M0013162	Mechanoreceptors	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0013162
CL:0000202	auditory hair cell	skos:exactMatch	M0009747	Hair Cells, Auditory	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0009747
CL:0000206	chemoreceptor cell	skos:exactMatch	M0004020	Chemoreceptor Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0004020
CL:0000207	olfactory receptor cell	skos:exactMatch	M0027220	Olfactory Receptor Neurons	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0027220
CL:0000210	photoreceptor cell	skos:exactMatch	M0016754	Photoreceptor Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0016754
CL:0000216	Sertoli cell	skos:exactMatch	M0019691	Sertoli Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0019691
CL:0000232	erythrocyte	skos:exactMatch	M0007711	Erythrocytes	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0007711
CL:0000233	platelet	skos:exactMatch	M0002704	Blood Platelets	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0002704
CL:0000234	phagocyte	skos:exactMatch	M0016451	Phagocytes	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0016451
CL:0000235	macrophage	skos:exactMatch	M0012871	Macrophages	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0012871
CL:0000236	B cell	skos:exactMatch	M0002097	B-Lymphocytes	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0002097
CL:0000242	Merkel cell	skos:exactMatch	M0028216	Merkel Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0028216
